iR,iZ,start,length
33,37,1371385,1000
33,38,1372385,1000
33,39,1373385,1000
34,0,1374385,1000
34,1,1375385,1000
34,2,1376385,1000
34,3,1377385,1000
34,4,1378385,1000
34,5,1379385,1000
34,6,1380385,1000
34,7,1381385,1000
34,8,1382385,1000
34,9,1383385,1000
34,10,1384385,1000
34,11,1385385,1000
34,12,1386385,1000
34,13,1387385,1000
34,14,1388385,1000
34,15,1389385,1000
34,16,1390385,1000
34,17,1391385,1000
34,18,1392385,1000
34,19,1393385,1000
34,20,1394385,1000
34,21,1395385,1000
34,22,1396385,1000
34,23,1397385,1000
34,24,1398385,1000
34,25,1399385,1000
34,26,1400385,1000
34,27,1401385,1000
34,28,1402385,1000
34,29,1403385,1000
34,30,1404385,1000
34,31,1405385,1000
34,32,1406385,1000
34,33,1407385,1000
34,34,1408385,1000
34,35,1409385,1000
34,36,1410385,1000
34,37,1411385,1000
34,38,1412385,1000
34,39,1413385,1000
35,0,1414385,1000
35,1,1415385,1000
35,2,1416385,1000
35,3,1417385,1000
35,4,1418385,1000
35,5,1419385,1000
35,6,1420385,1000
35,7,1421385,1000
35,8,1422385,1000
35,9,1423385,1000
35,10,1424385,1000
35,11,1425385,1000
35,12,1426385,1000
35,13,1427385,1000
35,14,1428385,1000
35,15,1429385,1000
35,16,1430385,1000
35,17,1431385,1000
35,18,1432385,1000
35,19,1433385,1000
35,20,1434385,1000
35,21,1435385,1000
35,22,1436385,1000
35,23,1437385,1000
35,24,1438385,1000
35,25,1439385,1000
35,26,1440385,1000
35,27,1441385,1000
35,28,1442385,1000
35,29,1443385,1000
35,30,1444385,1000
35,31,1445385,1000
35,32,1446385,1000
35,33,1447385,1000
35,34,1448385,1000
35,35,1449385,1000
35,36,1450385,1000
35,37,1451385,1000
35,38,1452385,1000
35,39,1453385,1000
36,0,1454385,1000
36,1,1455385,1000
36,2,1456385,1000
36,3,1457385,1000
36,4,1458385,1000
36,5,1459385,1000
36,6,1460385,1000
36,7,1461385,1000
36,8,1462385,1000
36,9,1463385,1000
36,10,1464385,1000
36,11,1465385,1000
36,12,1466385,1000
36,13,1467385,1000
36,14,1468385,1000
36,15,1469385,1000
36,16,1470385,1000
36,17,1471385,1000
36,18,1472385,1000
36,19,1473385,1000
36,20,1474385,1000
36,21,1475385,1000
36,22,1476385,1000
36,23,1477385,1000
36,24,1478385,1000
36,25,1479385,1000
36,26,1480385,1000
36,27,1481385,1000
36,28,1482385,1000
36,29,1483385,1000
36,30,1484385,1000
36,31,1485385,1000
36,32,1486385,1000
36,33,1487385,1000
36,34,1488385,1000
36,35,1489385,1000
36,36,1490385,1000
36,37,1491385,1000
36,38,1492385,1000
36,39,1493385,1000
37,0,1494385,1000
37,1,1495385,1000
37,2,1496385,1000
37,3,1497385,1000
37,4,1498385,1000
37,5,1499385,1000
37,6,1500385,1000
37,7,1501385,1000
37,8,1502385,1000
37,9,1503385,1000
37,10,1504385,1000
37,11,1505385,1000
37,12,1506385,1000
37,13,1507385,1000
37,14,1508385,1000
37,15,1509385,1000
37,16,1510385,1000
37,17,1511385,1000
37,18,1512385,1000
37,19,1513385,1000
37,20,1514385,1000
37,21,1515385,1000
37,22,1516385,1000
37,23,1517385,1000
37,24,1518385,1000
37,25,1519385,1000
37,26,1520385,1000
37,27,1521385,1000
37,28,1522385,1000
37,29,1523385,1000
37,30,1524385,1000
37,31,1525385,1000
37,32,1526385,1000
37,33,1527385,1000
37,34,1528385,1000
37,35,1529385,1000
37,36,1530385,1000
37,37,1531385,1000
37,38,1532385,1000
37,39,1533385,1000
38,0,1534385,1000
38,1,1535385,1000
38,2,1536385,1000
38,3,1537385,1000
38,4,1538385,1000
38,5,1539385,1000
38,6,1540385,1000
38,7,1541385,1000
38,8,1542385,1000
38,9,1543385,1000
38,10,1544385,1000
38,11,1545385,1000
38,12,1546385,1000
38,13,1547385,1000
38,14,1548385,1000
38,15,1549385,1000
38,16,1550385,1000
38,17,1551385,1000
38,18,1552385,1000
38,19,1553385,1000
38,20,1554385,1000
38,21,1555385,1000
38,22,1556385,1000
38,23,1557385,1000
38,24,1558385,1000
38,25,1559385,1000
38,26,1560385,1000
38,27,1561385,1000
38,28,1562385,1000
38,29,1563385,1000
38,30,1564385,1000
38,31,1565385,1000
38,32,1566385,1000
38,33,1567385,1000
38,34,1568385,1000
38,35,1569385,1000
38,36,1570385,1000
38,37,1571385,1000
38,38,1572385,1000
38,39,1573385,1000
39,0,1574385,1000
39,1,1575385,1000
39,2,1576385,1000
39,3,1577385,1000
39,4,1578385,1000
39,5,1579385,1000
39,6,1580385,1000
39,7,1581385,1000
39,8,1582385,1000
39,9,1583385,1000
39,10,1584385,1000
39,11,1585385,1000
39,12,1586385,1000
39,13,1587385,1000
39,14,1588385,1000
39,15,1589385,1000
39,16,1590385,1000
39,17,1591385,1000
39,18,1592385,1000
39,19,1593385,1000
39,20,1594385,1000
39,21,1595385,1000
39,22,1596385,1000
39,23,1597385,1000
39,24,1598385,1000
39,25,1599385,1000
39,26,1600385,1000
39,27,1601385,1000
39,28,1602385,1000
39,29,1603385,1000
39,30,1604385,1000
39,31,1605385,1000
39,32,1606385,1000
39,33,1607385,1000
39,34,1608385,1000
39,35,1609385,1000
39,36,1610385,1000
39,37,1611385,1000
39,38,1612385,1000
39,39,1613385,1000
