iR,iZ,start,length
6,39,279000,1000
7,0,280000,1000
7,1,281000,1000
7,2,282000,1000
7,3,283000,1000
7,4,284000,1000
7,5,285000,1000
7,6,286000,1000
7,7,287000,1000
7,8,288000,1000
7,9,289000,1000
7,10,290000,1000
7,11,291000,1000
7,12,292000,1000
7,13,293000,1000
7,14,294000,1000
7,15,295000,1000
7,16,296000,1000
7,17,297000,1000
7,18,298000,1000
7,19,299000,1000
7,20,300000,1000
7,21,301000,1000
7,22,302000,1000
7,23,303000,1000
7,24,304000,1000
7,25,305000,1000
7,26,306000,1000
7,27,307000,1000
7,28,308000,1000
7,29,309000,1000
7,30,310000,1000
7,31,311000,1000
7,32,312000,1000
7,33,313000,1000
7,34,314000,1000
7,35,315000,1000
7,36,316000,1000
7,37,317000,1000
7,38,318000,1000
7,39,319000,1000
8,0,320000,1000
8,1,321000,1000
8,2,322000,1000
8,3,323000,1000
8,4,324000,1000
8,5,325000,1000
8,6,326000,1000
8,7,327000,1000
8,8,328000,1000
8,9,329000,1000
8,10,330000,1000
8,11,331000,1000
8,12,332000,1000
8,13,333000,1000
8,14,334000,1000
8,15,335000,1000
8,16,336000,1000
8,17,337000,1000
8,18,338000,1000
8,19,339000,1000
8,20,340000,1000
8,21,341000,1000
8,22,342000,1000
8,23,343000,1000
8,24,344000,1000
8,25,345000,1000
8,26,346000,1000
8,27,347000,1000
8,28,348000,1000
8,29,349000,1000
8,30,350000,1000
8,31,351000,1000
8,32,352000,1000
8,33,353000,1000
8,34,354000,1000
8,35,355000,1000
8,36,356000,1000
8,37,357000,1000
8,38,358000,1000
8,39,359000,1000
9,0,360000,1000
9,1,361000,1000
9,2,362000,1000
9,3,363000,1000
9,4,364000,1000
9,5,365000,1000
9,6,366000,1000
9,7,367000,1000
9,8,368000,1000
9,9,369000,1000
9,10,370000,1000
9,11,371000,1000
9,12,372000,1000
9,13,373000,1000
9,14,374000,1000
9,15,375000,1000
9,16,376000,1000
9,17,377000,1000
9,18,378000,1000
9,19,379000,1000
9,20,380000,1000
9,21,381000,1000
9,22,382000,1000
9,23,383000,1000
9,24,384000,1000
9,25,385000,1000
9,26,386000,1000
9,27,387000,1000
9,28,388000,1000
9,29,389000,1000
9,30,390000,1000
9,31,391000,1000
9,32,392000,1000
9,33,393000,1000
9,34,394000,1000
9,35,395000,1000
9,36,396000,1000
9,37,397000,1000
9,38,398000,1000
9,39,399000,1000
10,0,400000,1000
10,1,401000,1000
10,2,402000,1000
10,3,403000,1000
10,4,404000,1000
10,5,405000,1000
10,6,406000,1000
10,7,407000,1000
10,8,408000,1000
10,9,409000,1000
10,10,410000,1000
10,11,411000,1000
10,12,412000,1000
10,13,413000,1000
10,14,414000,1000
10,15,415000,1000
10,16,416000,1000
10,17,417000,1000
10,18,418000,1000
10,19,419000,1000
10,20,420000,1000
10,21,421000,1000
10,22,422000,1000
10,23,423000,1000
10,24,424000,1000
10,25,425000,1000
10,26,426000,1000
10,27,427000,1000
10,28,428000,1000
10,29,429000,1000
10,30,430000,1000
10,31,431000,1000
10,32,432000,1000
10,33,433000,1000
10,34,434000,1000
10,35,435000,1000
10,36,436000,1000
10,37,437000,1000
10,38,438000,1000
10,39,439000,1000
11,0,440000,1000
11,1,441000,1000
11,2,442000,1000
11,3,443000,1000
11,4,444000,1000
11,5,445000,1000
11,6,446000,1000
11,7,447000,1000
11,8,448000,1000
11,9,449000,1000
11,10,450000,1000
11,11,451000,1000
11,12,452000,1000
11,13,453000,1000
11,14,454000,1000
11,15,455000,1000
11,16,456000,1000
11,17,457000,1000
11,18,458000,1000
11,19,459000,1000
11,20,460000,1000
11,21,461000,1000
11,22,462000,1000
11,23,463000,1000
11,24,464000,1000
11,25,465000,1000
11,26,466000,1000
11,27,467000,1000
11,28,468000,1000
11,29,469000,1000
11,30,470000,1000
11,31,471000,1000
11,32,472000,1000
11,33,473000,1000
11,34,474000,1000
11,35,475000,1000
11,36,476000,1000
11,37,477000,1000
11,38,478000,1000
11,39,479000,1000
12,0,480000,1000
12,1,481000,1000
12,2,482000,1000
12,3,483000,1000
12,4,484000,1000
12,5,485000,1000
12,6,486000,1000
12,7,487000,1000
12,8,488000,1000
12,9,489000,1000
12,10,490000,1000
12,11,491000,1000
12,12,492000,1000
12,13,493000,1000
12,14,494000,1000
12,15,495000,1000
12,16,496000,1000
12,17,497000,1000
12,18,498000,1000
12,19,499000,1000
12,20,500000,1000
12,21,501000,1000
12,22,502000,1000
12,23,503000,1000
12,24,504000,1000
12,25,505000,1000
12,26,506000,1000
12,27,507000,1000
12,28,508000,1000
12,29,509000,1000
12,30,510000,1000
12,31,511000,1000
12,32,512000,1000
12,33,513000,1000
12,34,514000,1000
12,35,515000,1000
12,36,516000,1000
12,37,517000,1000
12,38,518000,1000
12,39,519000,1000
13,0,520000,1000
13,1,521000,1000
13,2,522000,1000
13,3,523000,1000
13,4,524000,1000
13,5,525000,1000
13,6,526000,1000
